"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*062pk*","Simone Fontecchio","MIA","SF,PF,F,Flx","147","SMAC777","@LAL Sun 8:30PM","55.47","24%","+5.4%","5","21.5","4.8","8.0",".600","1.0","1.2",".833","3.2","2.6","1.8","0.6","0.2","0.8","13.8"
"*051pb*","Nicolas Claxton","BKN","C,Flx","148","Goon","PHI Sun 5:00PM","54.6","94%","-2.1%","5","26.4","5.6","10.4",".538","1.0","1.6",".625","0.0","6.4","2.4","0.8","0.2","1.0","12.2"
"*06v5n*","Kon Knueppel","CHA","PG,SG,G,SF,F,Flx","149","Goon","UTA Sun 5:00PM","54.54","89%","+1.4%","6","29.3","4.3","9.8",".441","0.7","1.0",".667","3.0","4.7","1.8","0.5","0.0","2.5","12.3"
"*06mll*","Jaylen Wells","MEM","SG,G,SF,F,Flx","150","FA","@TOR Sun 5:00PM","54.52","69%","-11.8%","6","26.8","3.7","10.0",".367","1.5","2.3",".643","1.7","3.5","1.3","0.7","0.0","0.8","10.5"
"*04ewk*","John Collins","LAC","SF,PF,F,Flx","151","Goon","","54.49","97%","-1.2%","5","24.1","4.8","8.2",".585","1.6","2.2",".727","0.6","5.8","1.0","1.2","0.6","2.2","11.8"
"*05qug*","Anthony Edwards","MIN","SG,G,SF,F,Flx","152","12?","","54.38","100%","-0.1%","3","25.7","9.0","17.3",".519","4.7","5.7",".824","3.0","4.0","2.0","0.0","0.7","2.0","25.7"
"*05uj9*","Herbert Jones","NO","SF,PF,F,Flx","153","herb","NO 68<br/>@OKC 85","54.18","88%","-3.2%","6","26.1","3.2","8.0",".396","0.8","1.0",".833","2.0","3.8","2.2","1.2","0.2","1.7","9.2"
"*051p9*","Keldon Johnson","SA","SG,G,SF,F,Flx","154","WIN","@PHO Sun 7:00PM","54.13","51%","+0.6%","5","24.1","4.4","7.0",".629","1.8","2.2",".818","1.2","5.8","1.0","0.6","0.0","0.2","11.8"
"*0529c*","Dean Wade","CLE","PF,F,Flx","155","FA","ATL Sun 5:00PM","53.97","10%","-0.3%","6","24.3","1.7","5.0",".333","1.3","1.8",".727","1.3","3.7","1.3","1.0","0.5","0.3","6.0"
"*0621x*","Jaylin Williams","OKC","PF,F,C,Flx","156","FA","NO 68<br/>@OKC 85","53.83","20%","-3.3%","7","17.4","2.0","5.3",".378","0.4","0.6",".750","1.3","4.1","2.1","1.0","0.4","0.9","5.7"
"*0527l*","Luguentz Dort","OKC","SF,PF,F,Flx","157","FA","NO 68<br/>@OKC 85","53.8","50%","-11.1%","6","34.7","2.5","8.3",".300","1.3","1.3","1.000","1.0","5.3","1.8","1.2","0.0","0.8","7.3"
"*06mkc*","Jaylon Tyson","CLE","SG,G,SF,F,Flx","158","FA","ATL Sun 5:00PM","53.69","19%","-0.8%","6","24.2","3.7","7.0",".524","0.7","1.0",".667","1.7","2.7","1.5","1.0","0.8","1.7","9.7"
"*04ewr*","Kyle Kuzma","MIL","SF,PF,F,Flx","159","FA","","53.66","77%","-6.6%","5","23.6","4.4","8.0",".550","2.4","2.8",".857","0.2","4.2","1.8","0.8","0.6","1.6","11.4"
"*05uif*","Jalen Suggs","ORL","PG,G,Flx","160","BOT","","53.49","91%","-1.4%","5","19.2","3.6","6.6",".545","1.6","1.8",".889","1.4","3.4","4.4","1.8","0.2","3.0","10.2"
"*031lz*","Steven Adams","HOU","C,Flx","161","FA","","53.09","42%","-1.6%","5","22.4","2.4","3.6",".667","2.2","2.4",".917","0.0","9.6","1.8","0.8","0.4","1.4","7.0"
"*06mk7*","Kelel Ware","MIA","C,Flx","162","BOT","@LAL Sun 8:30PM","52.8","96%","-1.2%","5","21.2","3.4","7.6",".447","1.2","1.6",".750","1.0","7.4","1.0","0.8","0.6","1.4","9.0"
"*04ex8*","Dillon Brooks","PHO","SG,G,SF,F,Flx","163","Universa","SA Sun 7:00PM","52.73","75%","-1.6%","3","30.5","7.3","19.7",".373","1.7","1.7","1.000","3.0","3.3","2.3","2.7","0.7","2.3","19.3"
"*05ujs*","Sandro Mamukelashvili","TOR","PF,F,C,Flx","164","FA","MEM Sun 5:00PM","52.25","15%","+0.9%","6","17.8","3.0","4.7",".643","2.0","2.5",".800","0.8","2.5","2.3","0.3","0.3","1.2","8.8"
"*06mjv*","Reed Sheppard","HOU","PG,SG,G,Flx","165","Benny","","52.22","81%","-5.8%","5","21.4","3.6","9.2",".391","0.8","1.0",".800","2.4","2.6","3.4","1.0","0.4","1.4","10.4"
"*06mlz*","Cam Spencer","MEM","PG,SG,G,Flx","166","FA","@TOR Sun 5:00PM","52.15","10%","+0.3%","6","15.7","2.2","5.2",".419","1.5","1.7",".900","1.8","2.0","3.3","0.7","0.0","0.8","7.7"
"*064tp*","Quenton Jackson","IND","PG,G,Flx","167","FA","","51.84","4%","+0.2%","4","20.2","4.8","8.3",".576","2.0","2.8",".727","1.5","3.8","3.5","1.3","0.3","1.3","13.0"
"*051ps*","Terance Mann","BKN","PG,SG,G,SF,F,Flx","168","FA","PHI Sun 5:00PM","51.74","24%","+3.6%","5","25.3","4.4","7.8",".564","1.0","1.2",".833","1.4","3.8","2.4","1.0","0.0","0.6","11.2"
"*04qsi*","Jarred Vanderbilt","LAL","PF,F,Flx","169","FA","MIA Sun 8:30PM","51.54","23%","+1.1%","6","21.1","1.8","4.5",".407","1.3","1.7",".800","0.0","6.5","1.7","1.5","0.5","1.8","5.0"
"*06pw1*","RayJ Dennis","IND","PG,G,Flx","170","FA","","51.47","19%","+8.2%","5","25.6","3.2","10.4",".308","1.0","1.2",".833","1.8","2.8","4.6","0.6","0.8","1.6","9.2"
"*05qtl*","Cole Anthony","MIL","PG,G,Flx","171","BOT","","51.39","59%","+1.7%","5","19.5","4.6","9.0",".511","0.8","1.8",".444","1.0","3.0","5.6","0.6","0.6","1.8","11.0"
"*05qt0*","Saddiq Bey","NO","SF,PF,F,Flx","172","FA","NO 68<br/>@OKC 85","51.39","28%","-2%","6","22.6","2.8","7.5",".378","1.2","1.7",".700","1.5","3.2","1.3","0.8","0.0","0.7","8.3"
"*06v7z*","Sion James","CHA","PG,SG,G,Flx","173","FA","UTA Sun 5:00PM","51.35","21%","+4.9%","6","22.3","2.7","4.2",".640","1.2","1.2","1.000","1.7","2.5","1.2","0.7","0.3","0.5","8.2"
"*06mk6*","Carlton Carrington","WAS","PG,G,Flx","174","W <small>(Mon)</small>","","51.29","80%","-5.7%","6","27.1","2.3","7.2",".326","1.2","1.7",".700","1.2","4.0","3.5","1.2","0.2","2.0","7.0"
"*0015e*","Mike Conley","MIN","PG,G,Flx","175","FA","","51.05","24%","-7.8%","6","21.6","1.8","5.3",".344","1.3","1.3","1.000","1.2","2.5","3.5","1.0","0.5","1.3","6.2"
"*06caa*","Ben Sheppard","IND","SG,G,Flx","176","Benny","","50.52","40%","-9%","6","27.0","2.3","7.5",".311","1.5","2.0",".750","0.7","6.2","2.3","0.3","0.2","0.8","6.8"
"*04qrx*","Josh Okogie","HOU","SG,G,SF,F,Flx","177","FA","","50.44","12%","+1.1%","5","22.5","2.8","4.4",".636","2.6","3.2",".813","1.8","1.4","1.4","0.6","0.2","0.4","10.0"
"*0623m*","Keon Ellis","SAC","PG,SG,G,Flx","178","FA","","50.35","52%","-7.4%","6","19.0","2.5","5.2",".484","0.8","1.3",".625","1.2","1.7","0.7","1.8","0.2","0.5","7.0"
"*062dn*","Julian Champagnie","SA","SF,PF,F,Flx","179","FA","@PHO Sun 7:00PM","50.23","29%","+1.6%","5","29.3","2.4","5.8",".414","1.2","1.8",".667","1.2","6.4","2.0","0.8","0.4","0.6","7.2"
"*0621t*","Peyton Watson","DEN","SF,PF,F,Flx","180","FA","","50.13","28%","-3.8%","5","21.2","2.4","3.8",".632","2.0","2.4",".833","0.4","3.0","1.8","1.0","1.4","1.4","7.2"
"*05qsl*","Patrick Williams","CHI","SF,PF,F,Flx","181","FA","@NY Sun 6:00PM","50.12","21%","-0.2%","5","22.2","3.2","6.0",".533","1.0","1.6",".625","1.8","3.2","1.8","0.8","0.6","1.2","9.2"
"*031mb*","Tim Hardaway","DEN","SG,G,SF,F,Flx","182","FA","","50.11","21%","-2.4%","5","23.3","3.8","8.2",".463","1.2","1.4",".857","2.4","1.2","1.2","0.6","0.0","0.2","11.2"
"*05uij*","Davion Mitchell","MIA","PG,G,Flx","183","booty","@LAL Sun 8:30PM","50","82%","-4.2%","5","27.5","3.8","8.6",".442","0.4","0.8",".500","1.2","2.6","7.4","0.8","0.2","1.8","9.2"
"*0621g*","Tari Eason","HOU","SF,PF,F,Flx","184","Benny","","49.9","86%","-5.9%","5","23.7","4.2","8.2",".512","0.2","0.6",".333","2.4","5.4","2.2","0.6","0.6","2.6","11.0"
"*0621k*","Christian Braun","DEN","SG,G,SF,F,Flx","185","12?","","49.81","97%","-1.4%","5","30.9","4.4","9.0",".489","1.8","2.0",".900","0.4","3.8","2.4","0.8","0.4","1.6","11.0"
"*0621q*","Nikola Jovic","MIA","PF,F,Flx","186","FA","@LAL Sun 8:30PM","49.79","64%","-3.2%","5","21.2","2.8","6.8",".412","1.8","2.0",".900","1.6","4.2","2.4","0.4","0.2","1.4","9.0"
"*0621o*","Blake Wesley","POR","PG,SG,G,Flx","187","FA","","49.65","11%","+0.5%","6","16.3","2.3","5.7",".412","1.0","1.7",".600","0.3","2.3","3.2","1.7","0.2","1.2","6.0"
"*05qzh*","Naji Marshall","DAL","SF,PF,F,Flx","188","FA","","49.56","26%","-2.2%","6","23.6","1.8","4.3",".423","3.0","3.3",".900","0.2","3.5","1.7","1.0","0.0","1.0","6.8"
"*06mlr*","Jamal Shead","TOR","PG,G,Flx","189","FA","MEM Sun 5:00PM","49.51","21%","-0.2%","6","17.2","2.2","5.0",".433","1.5","1.8",".818","1.0","2.2","5.0","0.5","0.0","1.2","6.8"
"*06215*","Bennedict Mathurin","IND","SG,G,SF,F,Flx","190","booty","","49.38","99%","-0.2%","2","36.4","8.5","15.5",".548","11.5","13.0",".885","2.5","7.0","2.5","0.0","0.0","2.5","31.0"
"*06v5h*","Derik Queen","NO","C,Flx","191","FA","NO 68<br/>@OKC 85","49.27","52%","-2.8%","5","19.6","2.8","6.4",".438","2.4","3.2",".750","0.0","5.4","0.2","0.6","0.8","1.2","8.0"
"*03nwn*","Bobby Portis","MIL","PF,F,C,Flx","192","SMAC777","","49.25","81%","-8.3%","6","19.9","4.2","9.7",".431","0.3","0.3","1.000","1.3","5.8","1.0","0.2","0.2","1.3","10.0"
"*03e6n*","Jusuf Nurkic","UTA","C,Flx","193","FA","@CHA Sun 5:00PM","49.18","30%","-1.5%","5","17.3","3.0","7.0",".429","1.4","2.0",".700","0.4","7.6","2.6","1.4","0.2","3.2","7.8"
"*06ca7*","Cam Whitmore","WAS","SF,PF,F,Flx","194","FA","","49.1","66%","-9.3%","6","16.7","3.8","9.0",".426","0.7","1.2",".571","1.0","3.2","0.8","1.2","0.0","1.0","9.3"
"*06cp4*","Craig Porter","CLE","PG,G,Flx","195","FA","ATL Sun 5:00PM","48.53","11%","+1.8%","6","17.4","2.3","4.3",".538","0.5","1.2",".429","1.0","3.0","2.0","1.3","0.3","0.8","6.2"
"*05uis*","Tre Mann","CHA","PG,G,Flx","196","FA","UTA Sun 5:00PM","48.3","24%","-3.7%","6","20.0","3.0","9.5",".316","1.0","1.2",".857","1.2","2.7","3.0","0.8","0.0","1.8","8.2"
"*048zt*","Derrick Jones","LAC","SF,PF,F,Flx","197","FA","","48.02","24%","-0.5%","5","23.0","4.2","6.4",".656","0.2","0.4",".500","1.8","2.4","1.0","0.4","1.0","0.6","10.4"
"*05uj3*","DayRon Sharpe","BKN","C,Flx","198","FA","PHI Sun 5:00PM","47.9","32%","+1.6%","5","17.1","3.4","4.6",".739","1.0","1.4",".714","0.4","5.4","2.0","1.0","0.8","2.6","8.2"
"*02nf7*","Harrison Barnes","SA","SF,PF,F,Flx","199","FA","@PHO Sun 7:00PM","47.88","24%","-2.1%","5","30.5","3.2","7.2",".444","1.2","1.2","1.000","1.6","1.6","2.8","0.8","0.4","1.8","9.2"
"*04ewd*","Luke Kennard","ATL","PG,SG,G,Flx","200","FA","@CLE Sun 5:00PM","47.77","17%","+0.2%","6","25.0","2.7","5.7",".471","1.3","1.5",".889","1.2","2.3","2.3","0.5","0.2","1.2","7.8"
"*06mkd*","Yves Missi","NO","PF,F,C,Flx","201","W <small>(Tue)</small>","NO 68<br/>@OKC 85","47.39","81%","-6.8%","5","22.9","3.0","4.4",".682","1.4","2.8",".500","0.0","6.6","1.4","0.2","1.2","1.6","7.4"
"*027ou*","Klay Thompson","DAL","SG,G,SF,F,Flx","202","FA","","46.84","69%","-11.9%","6","20.6","3.2","9.5",".333","0.7","0.7","1.000","1.7","3.0","1.3","0.2","0.3","1.0","8.7"
"*05uio*","Moses Moody","GS","SG,G,SF,F,Flx","203","FA","","46.64","30%","+2.7%","5","18.2","2.2","6.2",".355","1.4","1.8",".778","2.0","2.4","1.2","0.6","0.8","1.2","7.8"
"*049ki*","Marvin Bagley","WAS","PF,F,C,Flx","204","FA","","46.55","12%","-0.3%","6","14.9","3.0","4.2",".720","0.8","1.7",".500","0.3","3.5","1.7","0.5","0.3","0.7","7.2"
