"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*04qrp*","Miles Bridges","CHA","SF,PF,F,Flx","44","Benny","@WAS Sun 5:00PM","68.07","100","69.3","100%","+99.5%","2","32.8","6.0","14.5",".414","3.0","3.5",".857","3.0","10.0","5.5","0.5","0.0","1.0","18.0"
"*051oj*","RJ Barrett","TOR","SG,G,SF,PF,F,Flx","45","SMAC777","@DAL Sun 6:30PM","67.49","100","83.6","99%","+99%","2","31.4","9.0","12.0",".750","3.0","4.0",".750","1.5","7.0","3.5","2.0","1.0","3.0","22.5"
"*05qt3*","Desmond Bane","ORL","SG,G,SF,F,Flx","46","BOT","","67.45","100","47.6","100%","+99.7%","3","32.3","6.3","14.7",".432","3.3","3.7",".909","1.3","5.3","3.7","0.3","0.7","3.7","17.3"
"*04azw*","Lauri Markkanen","UTA","SF,PF,F,Flx","47","SMAC777","","67.44","100","61.8","99%","+98.6%","2","35.0","10.0","18.0",".556","2.5","3.0",".833","4.0","5.0","3.0","0.0","0.0","1.0","26.5"
"*027p0*","Nikola Vucevic","CHI","C,Flx","48","WIN","","67.26","100","46.8","100%","+99.8%","2","31.9","8.0","12.5",".640","3.0","3.0","1.000","2.5","11.0","2.0","0.5","0.5","2.5","21.5"
"*03aq2*","Jerami Grant","POR","SF,PF,F,Flx","49","BOT","@LAC Sun 8:00PM","67.21","97","165.8","78%","+78.3%","2","27.7","8.0","12.0",".667","6.5","8.0",".813","3.0","2.5","1.5","0.5","0.5","1.5","25.5"
"*04ewf*","Bam Adebayo","MIA","PF,F,C,Flx","50","herb","NY Sun 5:00PM","67.11","100","27.1","100%","+99.8%","2","31.3","6.0","16.0",".375","5.0","5.5",".909","2.5","8.5","3.0","0.5","0.0","2.5","19.5"
"*02nfz*","Draymond Green","GS","PF,F,C,Flx","51","booty","","66.63","100","108.1","95%","+95.4%","3","27.7","4.0","7.0",".571","1.0","2.3",".429","2.0","6.0","7.3","0.3","1.0","3.3","11.0"
"*03ams*","Zach LaVine","SAC","SG,G,SF,F,Flx","52","Universa","LAL Sun 8:00PM","66.5","100","55.9","98%","+98.4%","2","35.8","11.5","21.0",".548","4.5","5.0",".900","3.0","2.0","1.0","0.0","0.5","1.5","30.5"
"*05uib*","Cade Cunningham","DET","PG,SG,G,Flx","53","herb","BOS Sun 2:30PM","66.49","100","6.8","100%","+99.9%","2","36.8","7.5","20.0",".375","5.0","7.5",".667","2.0","7.0","9.5","0.5","0.5","5.5","22.0"
